19:54;18:36;16:07;13:02;7:32;6:05
19:55;18:37;16:07;13:02;7:31;6:04
19:56;18:38;16:08;13:02;7:30;6:03
19:57;18:39;16:09;13:02;7:28;6:02
19:58;18:40;16:10;13:02;7:27;6:01
19:59;18:41;16:10;13:01;7:26;6:00
20:00;18:42;16:11;13:01;7:24;5:58
20:01;18:43;16:11;13:01;7:23;5:57
20:02;18:44;16:12;13:01;7:22;5:56
20:03;18:45;16:13;13:01;7:20;5:55
20:04;18:46;16:13;13:01;7:19;5:53
20:05;18:47;16:14;13:00;7:18;5:52
20:05;18:47;16:15;13:00;7:16;5:51
20:06;18:48;16:15;13:00;7:15;5:49
20:07;18:49;16:16;13:00;7:14;5:48
20:08;18:50;16:16;13:00;7:12;5:46
20:09;18:51;16:17;12:59;7:11;5:45
20:10;18:52;16:17;12:59;7:09;5:44
20:11;18:53;16:18;12:59;7:08;5:42
20:12;18:54;16:18;12:59;7:07;5:41
20:13;18:55;16:19;12:58;7:05;5:39
20:14;18:56;16:19;12:58;7:04;5:38
20:15;18:57;16:20;12:58;7:02;5:36
20:16;18:58;16:20;12:57;7:01;5:35
20:17;18:59;16:20;12:57;6:59;5:33
20:18;18:59;16:21;12:57;6:58;5:32
20:19;19:00;16:21;12:57;6:56;5:30
20:20;19:01;16:22;12:56;6:55;5:29
20:21;19:02;16:22;12:56;6:53;5:27
20:53;18:35;16:06;13:02;7:33;6:07
